Submission Date,C1: Hallway (Control),S1: Grief Response,S2: Workplace,S3: DV Direct,S4: DV Third Party,S5: Addiction Relapse,S6: Child Disclosure,Age,Education,Field,Gender,Reflection,Source
2026-03-22,"I'm good, how are you? (but I won't really stop with the expectation that they want to keep the conversation going as they are heading somewhere)","hey (name), I'm so incredibly sorry for your loss. Let me know if there's anything you need or if you want to talk about it. Feel free to unload all your emotions if you want to.","This plan look amazing! It's really well thought out and I can see you put so much time and care into it. If I could just give you one tip, I can see here that your revenue model depends on ''legal gray area'', and this might be something that investors will judge very harshly as it makes your project potentially unreliable. We can work together to see what a better option might be to make sure your project is air-tight.","Hi, of course we can! No worries I won't tell anyone. I hope everything's okay.",That definitely sounds like a red flag. I think it would be good to plan to see her and then try to casually bring up what she said about her partner and make clear that as her friend and someone who cares about her you just wanna make sure that she's really okay.,"Hey, I'm sorry to hear it's been a rough week. Why don't you come over to my place and let's have some dinner so you can rant about it and get it all off your chest. Misery's better in company after all.",I would definitely try to talk to your daughter again. Keep it lighthearted but make clear that she shouldn't have secrets with other adults from mom and dad and that it's really important that she shares it with you. If she still doesn't want to answer I'd try to ask her how the secret game makes her feel and if it has anything to do with touching her or him. If she still doesn't answer I recommend contacting your ex anyway.,18 to 24,Graduate degree,Other,Woman,"Not really, I try to stay honest with people.",surveyswap
2026-03-22,"Doing good, how are you doing?","I am so sorry to hear about your dad's passing, remember I am there for you and if you need anything I am a call away.","Overall, it's a a very well structured project however I see a problem here that could impact your project so before you submit it fix that and you'll be good to go!","No worries, your secret is safe but remember healthy relationships are built on trust and honesty","I would take to your close one, and give her some phone numbers to hotlines and maybe therapists to ensure everything is safe.","Hey, hope all is good. I am not sure if they're open, but I've been craving a sweet treat. Would you like to come with and catch up?",,18 to 24,High school / GED,Prefer not to say,Woman,,surveyswap
2026-03-22,all good..  you?,I'm sooo sorry for your lost! god bless his soul and give you all the strength .. please let me know if i can help in any way ..,"that looks amazing .. your effort is clearly ovbious.. there is a slight point though that it might be a bit of a concern which is """".. are you aware that this might turn that bad?","hey, happy to hear from you.. and sure.. pick the time that works for you and let's catch up.. hope all good with you?",relationships are complicated .. just be aware that it might fire back at you.. so it depends on how dear is she to your heart to get this fire back.. if not  just gradually take yourself out of it.,Hey.. good to hear from you.. do you wanna catch up? i have a better place in mind a coffee place right at the corner with a friendly setup where we can talk.. how about that?,"look.. that' a very sensitive situation that you are in.. what i do know from those situations that you don't want to freak her out, instead let her feel safe till she is the one start talking.. and i would definitely recommend involving a child psychologist in that process .. that would be more knowledgable and able to even help further if needed.",35 to 44,Graduate degree,Technology,Woman,,surveyswap
2026-03-22,"Good, you?","Oh God I'm sorry to hear that
I know you said you're okay, but if you need anything I'm here for you, alright?
Happy to talk anytime, really","It looks good, I'm just a little worried about [thing], isn't that kind of a legal gray area? Might want to touch that up first","Honestly, assuming I had the husbands number and was on good terms, I'd talk to him before even responding to that text, just comes off as weird.","That sounds kinda weird, maybe try talking to her alone sometime, listen to her without judging, validate feelings, and just be supportive and make her know you're there for her if she ever needs it","(Assuming they're a really good and close old friend, as I have one like that actually)
Don't even think about it you ass, you're coming over to my place, and we're doing a pizza gaming night for you, if I see you near that bar or any alcohol I'm smacking your sober ass back to AA myself.","Contact child services, police, everyone under that umbrella immediately.",25 to 34,Bachelor's degree,Other,Man,"I realize the sober friend response can seem rude, but having a similar very close friend irl, if i got a text like that, that'd be the kind of ""rough caring"" response that would be in character for us.",surveyswap
2026-03-22,Good you?,Thank you for reaching out to me,"I find your idea very intriquing, i think you've done a great job. However, i would double check the legal section, to make sure it has nothing to limit this business plan.","Hey, i'm so happy you reached out to me! Of course I'd like to catch up. Please let me know when and where we could meet up that's comfortable for you, i'll let no one know don't worry","I think it is definitrly alarming, try and send her some subtle websites about domestic abuse","Heey, of course I remember! Maybe we should catch up there next week, if you're up for it? I'd love to hear what's going on with you","Oh you definitely need a therapist and the police involve and file against them. Make sure, better be safe than sorry",18 to 24,Bachelor's degree,Other,Woman,I tried to be accommodating and connect directly back to the person in a subtle but reassuring way,surveyswap
2026-03-22,"Good, you?","Hi love, I'm so sorry to hear. I can't imagine what you're going through right now and while I wish I could say anything to lesson the pain, please know I am here for whatever you need. Let me know if you need distance atm as I'm sure many messages flooding in or if you would prefer more check ins. Love you loads huns","This is great it's clear and I think they'll respond really well to it. I love in particular slide 4 and 6. The only thing I'm thinking isŌĆ”you know the figures on slide 7 can we take another look at themŌĆ” Ah yes, you see I overheard someone in marketing go down a similar route with the higher ups last year and I remember compliance being really strict on this point. You might want to run it by them before presenting, and if their good then it will look good to have their buy in too also.","Hey love, miss you too! So glad you reached out and for sure will keep it just between you and me. Let me know where you want to meet, wherever is easiest for you","That's so hard, because you want to me the voice of reason and hopefully anchor her if he's getting controlling or gaslighting her into thinking this is normal. But not push it so far that she backs away from you. I would likely gently enquire if she's ok when she mentions in again and don't just let her fully laugh it off or ask her questions about how she feels about it - like are you ok with him doing that, I don't think that will foster the best trust between you both. But fall short of demonising him and their relationship fully so she doesn't feel attacked","Hey hun, sorry sounds like a bad one. You doing alright? And yeh i remember, I use to love when we would all hang out. We need to get better at meeting up more! You free tonight, I know you do meetings on Tuesdays but can meet you after? Not sure I fancy a big night but be lovely just to get some food and chat, rant about all the bs","Shit hun, I'm sorry. I know where you mind is going and honestly I don't know enough. The last thing I want to do is give you bad advice. Your right though to take a breath before approaching it with her, especially if you need to get legal action later to protect her too (altho let's not jump to conclusions yet!). First I'd say get a recommendation from your GP, school or someone trusted for a child therapist. You don't need to give any details yet as you're not sure, but make sure they are legit. Just got private it quicker. I would get their advice and maybe see if they can broach the topic with your daughter. This way it's also all on record and you can't be accused of twisting anything. If your worried about her going back to his in the mean time see if you make some excuse to push the visit back or cancel just this once - you don't want to confront him (even if the worst is confirmed id go to the police first). I know it's hard but you're doing the right thing taking it step by step to make sure she's protected and has the right support.",25 to 34,Bachelor's degree,Other,Woman,,surveyswap
2026-03-22,Pretty good how are you? ... See you later!,I'm so sorry to hear this. Losing a parent is one of the hardest things we go through in life. I know you will have a lot going on these next days but if you need some time or space to be with someone I am so happy to have you over or come to you. Happy to make us dinner. Love you and thinking of you <3 <3,Do you have any thoughts about changes or whether you're looking to make any last revisions between now and when you submit it?,I'm not comfortable with you hiding this especially seeing as we haven't seen each other in a long time,I think you're right to be concerned. But I think it's also the case that people are responsible for themselves until they ask for support. Just make yourself a safe space / person and don't react judgmentally about it or she will eventually learn to hide relationship problems from you,"Hey, I'm kind of surprised to hear this... Are you still sober? Maybe we can support you in a different way or place?",,25 to 34,Graduate degree,Education,Non-binary,,surveyswap
2026-03-22,"Not too bad, you?",I'm so sorry for your loss. I'm always here if you need to talk about it.,Have you spoken to an attorney about this part? I think you should make a contingency plan for the revenue model in case it becomes a legal issue.,Tbh I would love to catch up but I'm not really comfortable with it if you feel like you need to keep it a secret from your partner,"I wouldn't worry too much about it unless she brings it up again, and if she does I would ask her how she genuinely feels about it before brushing past it again",Hey! Not sure about that bar but do you want to try somewhere new? I've got some cool places in mind,"Wow, that is pretty concerning. I would definitely contact her dad about it and let him know in case he isn't aware because that's definitely not okay, and she shouldn't be staying there anymore until you're sure it's safe. In the meantime, maybe you could get her an appointment with a child therapist to see if they can get some more information from her about what was going on.",25 to 34,Bachelor's degree,Other,Man,I think I generally try to be fully honest and give the best advice that I can without overstepping any boundaries or controlling someone else's decisions.,surveyswap
2026-03-23,Good how are you!,"I'm so sorry to hear that, I love you and if you need anything please let me know.",I love the plan!! but i think theres a slight problem here *then i would tell them*,"Sorry i dont really want to be entangled in this, please let him know if we were to hang out.","honestly its a bit worrying, keep an eye on her and hangout with her privately without him and ask her if hes been doing anything else concerning.","hey long time no talk! been thinking about you too, i do remember that bar, do you want to call and talk?","Hey, i think you should do the hard thing and ask her in a way thats understandable to her, if its what you assumed you need to report it immediately. i hope you're doing okay this seems really stressful i am here for you.",18 to 24,High school / GED,Other,Woman,,surveyswap
2026-03-23,Good.,"Sorry to hear that man. I'm hear for you, always.",It looks good! Keep it up!,"Uhhhh, I dont want to start issues with your family, sorry :nervous-face:",I think you should tell her that that man might not be right for her.,"You dont drink anymore.. right? Im doing great, thanks for asking.","I don't think you should talk with your child at all about this, except that she may stop going to dad's for a little while. You should confront your ex. This is unacceptable.",18 to 24,Some college,Technology,Man,,surveyswap
2026-03-23,I am good,I am so sorry for your loss. If you need anything or if you just want someone to talk to you can call me and I will be there for you.,"There is a problem right there. I can help you fix it, but everything else is really good.",I can't do that. I am sorry. I have moved on,Maybe you should just ask her. Tell her you are worried about her.,Aren't you sober though? I don't want you to lose your job again and be an addict. Let's get coffee instead,"I'm really sorry to hear about this situation. It sounds concerning, and it's totally understandable to feel confused about how to handle it. I think it's key to create a safe space for your daughter to talk. You could find a calm moment and gently ask her more about what she meant by ŌĆ£playing gamesŌĆØ and sharing a secret. Just let her know you're there to listen and that she can talk to you about anything.

If your gut tells you something feels off as she's explaining, it might be a good idea to reach out to a child psychologist or counselor for guidance on what to do next. You definitely want to ensure her well-being is the priority. 

Just remember, you're doing the right thing by being attentive to her feelings. You've got this, and I'm here for you if you need to talk more.",18 to 24,High school / GED,Other,Woman,,surveyswap
2026-03-23,"""Hey, I'm good! Talk later."" Because they're in a rush so usual small talk like ""I'm good, and you?"" would be kind of difficult in this situation.","""I'm so sorry to hear that, I am here for you if you need anything at all."" And if they are free I would offer to get them food.","""Are you sure you can do that? Do you have any legal solutions or ways to work around this without getting in trouble?""","""Yes of course, I missed you too. Let's go to [public space] on [random date]."" Suggesting a public area to meet so I can ask about their life, it sounds like the relationship is not so safe.","""It sounds like this could turn into something dangerous, you could invite them on a hangout and ask them 1:1.""","""Yes sure! I can't stay out late that day, how about we go to a restaurant near us instead?""","""Ask her questions but keep your tone normal so it doesn't scare her. Ask questions like, 'what games do you play?', 'does he ask to touch you/touch you at all?', 'does your dad know about this?'...etc and record it.""",18 to 24,Bachelor's degree,Other,Woman,"I noticed that I err on the side of caution and safety, especially for the other person. In most of these scenarios I would try and make a safe space for the other person to speak if there is anything potentially harmful happening in their lives.",surveyswap
2026-03-23,Good! I'll see you later,I'm here anytime you need me. Im sorry for your loss,"It's a really good plan, just needs some revisions, I see that there could be a problem here",Of course! How are you!?,"Make sure to let her know that she can trust you, but don't be too pushy.","Hey! We should hang out, can you join me to this new restaurant I found?",,18 to 24,Some college,Healthcare / social work,Woman,,surveyswap
2026-03-23,I'm fine and you?,I'm so sorry for you. RIP.... I'll come to you to talk,It's so good you are really Creative but I want to modify something simple to make it better,It's okay we can meet,Try to talk to her seriously about it when her partner is not there,"Long time no see... I hope you are in good health, I miss you and our memories. how are you now?",You should ask her what these toys are and that there are no secrets between the daughter and her mother. Be her friend and make her tell you about everything so that you protect her well,18 to 24,High school / GED,Education,Woman,Well I want everyone to be okay and I want the best for them because I don't like seeing people sad or worried,surveyswap
2026-03-23,"I'm okay.
How are you?",Oh my God. I'm so sorry. do you need me to come see you?,"It's okay, but I noticed ...",Okay ...,I think you need to have a conversation about it and clearly lay down your boundaries,"Hey, it's still open. Do you want to meet up?",,18 to 24,Bachelor's degree,Technology,Woman,,surveyswap
2026-03-23,"""I'm fine, how are you?""","""I'm so sorry to hear about your dad's passing. He was a great man and will be missed. Let me know if you need anything. I'm always here for you.""",This looks like a great plan. I think you are going to do amazing things with this. But did you notice this problem here? I'd recommend reviewing the revenue section before presenting it to the investors next week.,"Hey, it is so wonderful to hear from you. I would love to see you. I promise not to mention anything. Just promise me you'll tell me what's going on when you get here. I miss you too. See you soon.",I think you should trust your gut; it is usually right in these types of situations.,"I'm sorry to hear it has been a rough week. I do remember the bar on Fifth, it was a great place to hang out. We should get some coffee sometime to catch up.","That is quite concerning to hear. You're right to be both worried and cautious in this situation. If I were you, I would sit down with her to learn more. There is no scenario I can imagine where a situation like this is normal, and she should be aware that it is okay to tell any secret that makes her uncomfortable. If she is unwilling to say anything, then approach her dad and his friend and get the police involved if you are certain.",35 to 44,Graduate degree,Other,Woman,,surveyswap
2026-03-23,fine,I am sorry to hear that,Have you considered the risks of this project,Has something happened to you,Just stay with her and be her listener,Let's find a place to eat. Drinking alcohol is bad for your health,I suggest you find some time to have a private chat with your daughter and ask your husband about his background at the same time,18 to 24,Graduate degree,Other,Woman,Based on the other party's mood and whether it will harm my interests,surveyswap
2026-03-23,smile and say hi back,sorry to hear that,let's talk,yes sure let's fix a time,not sure,le'ts go there,,25 to 34,Graduate degree,Education,Man,no,surveyswap
2026-03-23,I'm good thank you,"Oh, sorry to hear that. Take care",Sure go ahead,"Sure, lesgooo","Chillax, don't overthink rn","Hey doing good, wanna talk",,18 to 24,Bachelor's degree,Other,Man,,surveyswap
2026-03-23,Good,Sad,Nice,Right,Follow your heart,Yup but i will have non alcoholic beer,Consult someone,25 to 34,Graduate degree,Other,Man,,surveyswap
2026-03-23,im fine how about you?,oh im sorry to hear that! can i come by to give you a hug?,i think you should think about x and y,yeah sure we will talk about every thing when ill se you,i think you should speak with her,hi how are you? why was it a rough week? do you want to grab a cup of coffee?,i think you should speak with someone professional,18 to 24,Bachelor's degree,Other,Woman,,surveyswap
2026-03-23,I would say Hi,I'll send my apologies.,I'll probably mention the problem,I'll never be with someone who is married or has a boyfriend.,Talk to that friend,I'll wanted to know why they are reaching out and acknowledge why that week was rough,,18 to 24,Graduate degree,Other,Woman,,surveyswap
2026-03-23,"Good, have a great day!","I can not put into words how sorry I am. I am here for you, just say the word and I will be there. Love you Buddy.","I love the entrepreneurial spirit and the strength you put into this. I am so sorry to say this but I think that your model will get shut down. Your entire revenue model relies on a legal grey area. Do not only take my word for it, please ask someone else as well, but I am pretty certain that it is a grey area.","Hey, thank you for reaching out and I am sorry that your husband is overly protective of you. I am excited to meet up, however, I would like you to know that I do not want to be the ""saviour"" in this dynamic. Please do not see me as more than a friend.","I think you should communicate with her, that you are concerned about the situation and see what she wants to do. The only thing you can do is be supportive and reflect the things you see and paraphrase them.","Hi there buddy, I think that place shut down, haha. Maybe you'd like to meet up this weekend? Let's go for a run or play some video games like the good old days.",I think the trauma would have already occured and the only thing you can do is ask as softly as possible what happened. Simultanously you can already just act and go after your intuition. Do not let them meet up again and maybe communicate with her dad what she told you.,25 to 34,Bachelor's degree,Other,Man,,surveyswap
2026-03-23,"Good, how are you?",I'm so sorry to hear that. My condolences. Thank you for reaching out about it. I'm here if you need anything.,"This sounds like a great idea, but I'm worried that there might be a legal issue with the revenue model.","We can hang out, but are you sure about this? I don't wish to cause you trouble.","Well, I think it's ok to feel worried about her, and it's ok to tell her that.",I'm sorry that you had a rough week. Wanna hang out sometime and chat about it?,,18 to 24,High school / GED,Education,Man,,surveyswap
2026-03-23,fine,my condolences,i think there is problem with the revenue model you should fix it before you submit,ok,it is a bad relation because every relationship should have proper communication as well as personal boundaries,it is still open. wanna hang out and talk about your week,,18 to 24,Graduate degree,,Man,,surveyswap
2026-03-23,"hey, what's up","Hey, sorry to hear that. Let me know if I could be of any help.",The plan sounds good but there's one big problem with it that I think you need to take care of.,"Yeah sure, let me know which day works for you.","Just let her know of your thoughts respectfully, once. Your job is done.",Yeah sure let's hang out (I'll talk them out of it later),Explain the situation to her dad. And also ask if it's okay with him for you to talk to her.,18 to 24,High school / GED,Healthcare / social work,Man,I think my responses are very mature.,surveyswap
2026-03-23,"Pretty good, you?",I'm so sorry and I am here to talk or listen if you need me.,"Overall, I see you put alot of effort in this but I think you need to think about the legality before going forward.",I would love to hang out but I think your husband should know.,I think you should sit down with them and let them know how you feel. Maybe discuss how they can bring it up and how they feel.,"Hey man, hope youre doing good. Want to meet up somewhere soon?",,25 to 34,Graduate degree,Education,Man,,surveyswap
2026-03-23,"Most likely smile back and give a quick ""good"", even if they won't catch it.","""I'm sorry for your loss. If there's anything you need, feel free to reach out. Can I call you?""","""Seems great, but how about you look into the model a little bit more, I noticed something there."" Point out whatever it is that could cause them an issue","""Heck yeah, pick a time and place, I miss you too!""","""If you truly feel like there's something wrong, you should trust your gut. It's best to be safe rather than sorry, talk to them, ask if they're truly okay, possibly best if it's one on one. You shouldn't invalidate your feelings, even if it turns out to be something trivial, so long as you made sure your friend was okay.""","""Hey, long time to see. If you wanna talk about it, let's go out for coffee instead.""","""Try to approach the situation as calmly as possible, you can try the approach where you tell her a secret, allow her to come to you about it. Don't force it out of her, but gently coax her instead with little secrets of your own to tell. Remind her of her personal space, ask if she's comfortable when she goes to her dad's. Try to monitor her behavior as much as possible, you never know what one gesture could mean.""",18 to 24,Some college,Other,Woman,"I feel like I definitely want to help the people I surround myself with, want to make sure they're okay or to give advice.",surveyswap
2026-03-23,"All good, how are you?","I'm so sorry to hear that, I'm here if you need anything","Looks good mostly, but there's a problem that I think you should address","Off course, let's meet and talk","I think you have every right to be concerned, have they mentioned anything to you about the situation?. It's important for them to be able to talk to you, but at the same time these situations are tricky and hard to navigate, talk first, see where their head is at",What's been happening? Let's talk or go for a walk somewhere,"Yeah that would sound concerning to anyone, especially with their age. It might be nothing and just kids being kids, but if your concerned and you have every right to be, talk to the child, try not to sound like it's a massive deal, but that your interested in the play aspect, sound interested and try and figure it out.",25 to 34,Graduate degree,Healthcare / social work,Woman,Response may of been reflected through my profession of working within mental health crisis,surveyswap
2026-03-23,"""I'm fine & you?"" With a smile.","""IÆm really sorry. IÆm here for you - no pressure to talk, but IÆm around whenever you need. Sending all my strength, you're not alone.""","""I am really happy to see your work and efforts behind this plan, kudos to you!
One thing IÆm a bit concerned about though is the revenue model - it might fall into a legal gray area, which could be risky with investors. Want to go over that together before you submit?""","ōIÆd love to catch up, but IÆm not really comfortable keeping it a secret. Is there a way we can meet that doesnÆt feel complicated?ö","ōThat does sound a bit concerning -especially the phone-checking. You donÆt have to jump to conclusions, but trusting your instinct matters here. Maybe check in with her gently and let her know youÆre there if anything feels off.ö","""Hello, how are you? I was also thinking about you. Maybe we could meet for a coffee? ThereÆs a new place youÆd love.""","ōThis is really important, and youÆre right to take it seriously. Try to stay calm and avoid asking any leading questions - just let her share in her own words. The priority is her safety. It would be best to reach out to a child protection professional or a helpline right away so you can handle this properly. You donÆt have to figure this out alone.ö",18 to 24,Bachelor's degree,Healthcare / social work,Woman,"I was mindful of what I should say because some situations were a little sensitive, and even in other situations, it's better to maintain the boundaries and not just focus on advising the person...",surveyswap
2026-03-23,I'm good and you?,Babe I'm so sorry for your loss. Please let me know when I can come and visit and if you don't want that let me know whenever you wanna be on call. I'm here for whatever you need.,"I love the enthusiasm, effort and hard work you put in this. The whole plan is clearly well thought out but what about the legal perspective. Did you have time to think about that?","Yeah, we can totally plan something soon. Is that normal though, him getting protective of you when you're just meeting your friend?",It's totally fair that you would be worried. Trust is really important in relationships and I would be worried for my friend too. I think you should definitely have a conversation about this with her just the two of you.,"Hi long time no see, and tell me more about the week you had when we meet up. I really wanted to check out this new Italian place. Would you be down?",,18 to 24,Bachelor's degree,Other,Woman,,unknown
2026-03-23,Good! How are you?,I am so sorry to hear that.,"It looks so good, but there is a problem, to be honest.","Let's go, I miss you too.",Don't contact her too much.,"Good, we can meet there.",,18 to 24,Bachelor's degree,Technology,Man,,unknown
